maturitydate,date,ytm,time_to_mat
2021-03-01,2021-01-18,0.000799404,0.11506849
2021-09-01,2021-01-18,0.0010386,0.6191781
2022-03-01,2021-01-18,0.001066063,1.115068
2022-06-01,2021-01-18,0.001111149,1.367123
2023-03-01,2021-01-18,0.001937293,2.115068
2023-06-01,2021-01-18,0.001756574,2.367123
2024-03-01,2021-01-18,0.002501961,3.117808
2024-09-01,2021-01-18,0.003126225,3.621918
2025-03-01,2021-01-18,0.003686132,4.117808
2025-09-01,2021-01-18,0.004277676,4.621918
2021-03-01,2021-01-19,0.000640503,0.11232877
2021-09-01,2021-01-19,0.001009619,0.6164384
2022-03-01,2021-01-19,0.001145671,1.112329
2022-06-01,2021-01-19,0.001130316,1.364384
2023-03-01,2021-01-19,0.001917327,2.112329
2023-06-01,2021-01-19,0.001699789,2.364384
2024-03-01,2021-01-19,0.002484835,3.115068
2024-09-01,2021-01-19,0.003090217,3.619178
2025-03-01,2021-01-19,0.003680352,4.115068
2025-09-01,2021-01-19,0.004299107,4.619178
2021-03-01,2021-01-20,0.000473859,0.10958904
2021-09-01,2021-01-20,0.001142754,0.6136986
2022-03-01,2021-01-20,0.001315294,1.109589
2022-06-01,2021-01-20,0.001292828,1.361644
2023-03-01,2021-01-20,0.00208323,2.109589
2023-06-01,2021-01-20,0.001850947,2.361644
2024-03-01,2021-01-20,0.00259222,3.112329
2024-09-01,2021-01-20,0.003162889,3.616438
2025-03-01,2021-01-20,0.00369859,4.112329
2025-09-01,2021-01-20,0.004342443,4.616438
2021-03-01,2021-01-21,0.001195676,0.10684932
2021-09-01,2021-01-21,0.001277125,0.6109589
2022-03-01,2021-01-21,0.00139596,1.106849
2022-06-01,2021-01-21,0.001456065,1.358904
2023-03-01,2021-01-21,0.002109952,2.106849
2023-06-01,2021-01-21,0.001877471,2.358904
2024-03-01,2021-01-21,0.002637484,3.109589
2024-09-01,2021-01-21,0.003317366,3.613699
2025-03-01,2021-01-21,0.003885247,4.109589
2025-09-01,2021-01-21,0.004517259,4.613699
2021-03-01,2021-01-22,0.001034698,0.10410959
2021-09-01,2021-01-22,0.001248829,0.6082192
2022-03-01,2021-01-22,0.001296894,1.10411
2022-06-01,2021-01-22,0.001404118,1.356164
2023-03-01,2021-01-22,0.002043515,2.10411
2023-06-01,2021-01-22,0.001862332,2.356164
2024-03-01,2021-01-22,0.002558029,3.106849
2024-09-01,2021-01-22,0.00317244,3.610959
2025-03-01,2021-01-22,0.003807354,4.106849
2025-09-01,2021-01-22,0.004407386,4.610959
2021-03-01,2021-01-25,0.001494619,0.09589041
2021-09-01,2021-01-25,0.001328556,0.6
2022-03-01,2021-01-25,0.001450453,1.09589
2022-06-01,2021-01-25,0.001464208,1.347945
2023-03-01,2021-01-25,0.002123951,2.09589
2023-06-01,2021-01-25,0.002026117,2.347945
2024-03-01,2021-01-25,0.002662938,3.09863
2024-09-01,2021-01-25,0.003009449,3.60274
2025-03-01,2021-01-25,0.003597301,4.09863
2025-09-01,2021-01-25,0.004186947,4.60274
2021-03-01,2021-01-26,0.001323778,0.09315068
2021-09-01,2021-01-26,0.001299971,0.5972603
2022-03-01,2021-01-26,0.0014415,1.093151
2022-06-01,2021-01-26,0.001411844,1.345205
2023-03-01,2021-01-26,0.002104038,2.093151
2023-06-01,2021-01-26,0.001927198,2.345205
2024-03-01,2021-01-26,0.002457979,3.09589
2024-09-01,2021-01-26,0.003082377,3.6
2025-03-01,2021-01-26,0.003663793,4.09589
2025-09-01,2021-01-26,0.00427424,4.6
2021-03-01,2021-01-27,0.001142897,0.09041096
2021-09-01,2021-01-27,0.001103392,0.5945205
2022-03-01,2021-01-27,0.001250077,1.090411
2022-06-01,2021-01-27,0.00128657,1.342466
2023-03-01,2021-01-27,0.001943309,2.090411
2023-06-01,2021-01-27,0.001744134,2.342466
2024-03-01,2021-01-27,0.00231541,3.093151
2024-09-01,2021-01-27,0.002909524,3.59726
2025-03-01,2021-01-27,0.003489056,4.093151
2025-09-01,2021-01-27,0.004076248,4.59726
2021-03-01,2021-01-28,0.000951062,0.08767123
2021-09-01,2021-01-28,0.001241997,0.5917808
2022-03-01,2021-01-28,0.001240572,1.087671
2022-06-01,2021-01-28,0.001379326,1.339726
2023-03-01,2021-01-28,0.001876138,2.087671
2023-06-01,2021-01-28,0.001812764,2.339726
2024-03-01,2021-01-28,0.002392015,3.090411
2024-09-01,2021-01-28,0.003119197,3.594521
2025-03-01,2021-01-28,0.003603826,4.090411
2025-09-01,2021-01-28,0.004229431,4.594521
2021-03-01,2021-01-29,0.000747248,0.08493151
2021-09-01,2021-01-29,0.0012126,0.5890411
2022-03-01,2021-01-29,0.001231017,1.084932
2022-06-01,2021-01-29,0.001326462,1.336986
2023-03-01,2021-01-29,0.001949893,2.084932
2023-06-01,2021-01-29,0.001881572,2.336986
2024-03-01,2021-01-29,0.002406014,3.087671
2024-09-01,2021-01-29,0.003110275,3.591781
2025-03-01,2021-01-29,0.003694636,4.087671
2025-09-01,2021-01-29,0.004272944,4.591781
