maturitydate,date,time_to_mat,fr,time_to_mat2
2021-05-01,2021-01-18,0.2821918,0.003143245,1
2021-08-01,2021-01-18,0.5342466,0.010779742,2
2022-02-01,2021-01-18,1.038356,0.03878919,3
2022-08-01,2021-01-18,1.534247,0.099326869,4
2023-02-01,2021-01-18,2.038356,,
2023-06-01,2021-01-18,2.367123,,
2024-03-01,2021-01-18,3.117808,,
2024-09-01,2021-01-18,3.621918,,
2025-03-01,2021-01-18,4.117808,,
2025-09-01,2021-01-18,4.621918,,
2021-05-01,2021-01-19,0.2794521,0.003160247,1
2021-08-01,2021-01-19,0.5315068,0.009249813,2
2022-02-01,2021-01-19,1.035616,0.026528841,3
2022-08-01,2021-01-19,1.531507,0.0607359,4
2023-02-01,2021-01-19,2.035616,,
2023-06-01,2021-01-19,2.364384,,
2024-03-01,2021-01-19,3.115068,,
2024-09-01,2021-01-19,3.619178,,
2025-03-01,2021-01-19,4.115068,,
2025-09-01,2021-01-19,4.619178,,
2021-05-01,2021-01-20,0.2767123,0.003313878,1
2021-08-01,2021-01-20,0.5287671,0.008699726,2
2022-02-01,2021-01-20,1.032877,0.024164237,3
2022-08-01,2021-01-20,1.528767,0.054826736,4
2023-02-01,2021-01-20,2.032877,,
2023-06-01,2021-01-20,2.361644,,
2024-03-01,2021-01-20,3.112329,,
2024-09-01,2021-01-20,3.616438,,
2025-03-01,2021-01-20,4.112329,,
2025-09-01,2021-01-20,4.616438,,
2021-05-01,2021-01-21,0.2739726,0.0030627,1
2021-08-01,2021-01-21,0.5260274,0.00897069,2
2022-02-01,2021-01-21,1.030137,0.02692554,3
2022-08-01,2021-01-21,1.526027,0.06317646,4
2023-02-01,2021-01-21,2.030137,,
2023-06-01,2021-01-21,2.358904,,
2024-03-01,2021-01-21,3.109589,,
2024-09-01,2021-01-21,3.613699,,
2025-03-01,2021-01-21,4.109589,,
2025-09-01,2021-01-21,4.613699,,
2021-05-01,2021-01-22,0.2712329,0.003210197,1
2021-08-01,2021-01-22,0.5232877,0.008848799,2
2022-02-01,2021-01-22,1.027397,0.025593367,3
2022-08-01,2021-01-22,1.523288,0.059182908,4
2023-02-01,2021-01-22,2.027397,,
2023-06-01,2021-01-22,2.356164,,
2024-03-01,2021-01-22,3.106849,,
2024-09-01,2021-01-22,3.610959,,
2025-03-01,2021-01-22,4.106849,,
2025-09-01,2021-01-22,4.610959,,
2021-05-01,2021-01-25,0.2630137,0.003789962,1
2021-08-01,2021-01-25,0.5150685,0.008871071,2
2022-02-01,2021-01-25,1.019178,0.024558439,3
2022-08-01,2021-01-25,1.515068,0.056658855,4
2023-02-01,2021-01-25,2.019178,,
2023-06-01,2021-01-25,2.347945,,
2024-03-01,2021-01-25,3.09863,,
2024-09-01,2021-01-25,3.60274,,
2025-03-01,2021-01-25,4.09863,,
2025-09-01,2021-01-25,4.60274,,
2021-05-01,2021-01-26,0.260274,0.003669354,1
2021-08-01,2021-01-26,0.5123288,0.009351317,2
2022-02-01,2021-01-26,1.016438,0.028608326,3
2022-08-01,2021-01-26,1.512329,0.069246559,4
2023-02-01,2021-01-26,2.016438,,
2023-06-01,2021-01-26,2.345205,,
2024-03-01,2021-01-26,3.09589,,
2024-09-01,2021-01-26,3.6,,
2025-03-01,2021-01-26,4.09589,,
2025-09-01,2021-01-26,4.6,,
2021-05-01,2021-01-27,0.2575342,0.003281103,1
2021-08-01,2021-01-27,0.509589,0.008627334,2
2022-02-01,2021-01-27,1.013699,0.025699521,3
2022-08-01,2021-01-27,1.509589,0.060988421,4
2023-02-01,2021-01-27,2.013699,,
2023-06-01,2021-01-27,2.342466,,
2024-03-01,2021-01-27,3.093151,,
2024-09-01,2021-01-27,3.59726,,
2025-03-01,2021-01-27,4.093151,,
2025-09-01,2021-01-27,4.59726,,
2021-05-01,2021-01-28,0.2547945,0.002762055,1
2021-08-01,2021-01-28,0.5068493,0.010106928,2
2022-02-01,2021-01-28,1.010959,0.036558332,3
2022-08-01,2021-01-28,1.506849,0.093144973,4
2023-02-01,2021-01-28,2.010959,,
2023-06-01,2021-01-28,2.339726,,
2024-03-01,2021-01-28,3.090411,,
2024-09-01,2021-01-28,3.594521,,
2025-03-01,2021-01-28,4.090411,,
2025-09-01,2021-01-28,4.594521,,
2021-05-01,2021-01-29,0.2520548,0.00290953,1
2021-08-01,2021-01-29,0.5041096,0.009378267,2
2022-02-01,2021-01-29,1.008219,0.032512257,3
2022-08-01,2021-01-29,1.50411,0.081954689,4
2023-02-01,2021-01-29,2.008219,,
2023-06-01,2021-01-29,2.336986,,
2024-03-01,2021-01-29,3.087671,,
2024-09-01,2021-01-29,3.591781,,
2025-03-01,2021-01-29,4.087671,,
2025-09-01,2021-01-29,4.591781,,
